"_id",kanji,cardid,volume
5899e7defe6fca451b590836,泉,699,Series 2 Volume 2
5899e7defe6fca451b5905c5,員,74,Series 2 Volume 1
5899e7defe6fca451b5905da,好,95,Series 2 Volume 1
5899e7defe6fca451b5905c0,合,69,Series 2 Volume 1
5899e7defe6fca451b5905c6,問,75,Series 2 Volume 1
5899e7defe6fca451b5905cb,土,80,Series 2 Volume 1
5899e7defe6fca451b5905dc,姉,97,Series 2 Volume 1
5899e7defe6fca451b5905e0,学,101,Series 2 Volume 1
5899e7defe6fca451b5905e1,安,102,Series 2 Volume 1
5899e7defe6fca451b5905e9,山,110,Series 2 Volume 1
5899e7defe6fca451b5905fc,急,129,Series 2 Volume 1
5899e7defe6fca451b590609,日,142,Series 2 Volume 1
5899e7defe6fca451b59060c,映,145,Series 2 Volume 1
5899e7defe6fca451b590613,書,152,Series 2 Volume 1
5899e7defe6fca451b59064e,短,211,Series 2 Volume 1
5899e7defe6fca451b590651,社,214,Series 2 Volume 1
5899e7defe6fca451b590652,私,215,Series 2 Volume 1
5899e7defe6fca451b590670,試,245,Series 2 Volume 1
5899e7defe6fca451b590697,音,284,Series 2 Volume 1
5899e7defe6fca451b59069a,顔,287,Series 2 Volume 1
5899e7defe6fca451b5906a1,馬,294,Series 2 Volume 1
5899e7defe6fca451b5906a3,験,296,Series 2 Volume 1
5899e7defe6fca451b5906ac,久,305,Series 2 Volume 2
5899e7defe6fca451b5906c5,位,330,Series 2 Volume 2
5899e7defe6fca451b5906d2,倒,343,Series 2 Volume 2
5899e7defe6fca451b590701,勇,390,Series 2 Volume 2
5899e7defe6fca451b59070c,単,401,Series 2 Volume 2
5899e7defe6fca451b590719,句,414,Series 2 Volume 2
5899e7defe6fca451b590723,否,424,Series 2 Volume 2
5899e7defe6fca451b590738,園,445,Series 2 Volume 2
5899e7defe6fca451b59073f,型,452,Series 2 Volume 2
5899e7defe6fca451b590745,塔,458,Series 2 Volume 2
5899e7defe6fca451b590753,姓,472,Series 2 Volume 2
5899e7defe6fca451b59075e,完,483,Series 2 Volume 2
5899e7defe6fca451b590775,局,506,Series 2 Volume 2
5899e7defe6fca451b590777,届,508,Series 2 Volume 2
5899e7defe6fca451b590793,庫,536,Series 2 Volume 2
5899e7defe6fca451b5907b1,恵,566,Series 2 Volume 2
5899e7defe6fca451b5907b3,悲,568,Series 2 Volume 2
5899e7defe6fca451b5907b8,慣,573,Series 2 Volume 2
5899e7defe6fca451b5907b9,憎,574,Series 2 Volume 2
5899e7defe6fca451b5907c3,技,584,Series 2 Volume 2
5899e7defe6fca451b5907e6,整,619,Series 2 Volume 2
5899e7defe6fca451b5907fd,末,642,Series 2 Volume 2
5899e7defe6fca451b590814,極,665,Series 2 Volume 2
5899e7defe6fca451b590828,比,685,Series 2 Volume 2
5899e7defe6fca451b590831,沸,694,Series 2 Volume 2
5899e7defe6fca451b590839,波,702,Series 2 Volume 2
5899e7defe6fca451b5905cf,声,84,Series 2 Volume 1
5899e7defe6fca451b5905bc,口,65,Series 2 Volume 1
5899e7defe6fca451b5905be,台,67,Series 2 Volume 1
5899e7defe6fca451b5905ce,場,83,Series 2 Volume 1
5899e7defe6fca451b5905d0,売,85,Series 2 Volume 1
5899e7defe6fca451b5905ee,帰,115,Series 2 Volume 1
5899e7defe6fca451b5905fd,悪,130,Series 2 Volume 1
5899e7defe6fca451b59060b,明,144,Series 2 Volume 1
5899e7defe6fca451b59061f,林,164,Series 2 Volume 1
5899e7defe6fca451b590641,男,198,Series 2 Volume 1
5899e7defe6fca451b59064b,真,208,Series 2 Volume 1
5899e7defe6fca451b590654,究,217,Series 2 Volume 1
5899e7defe6fca451b590655,空,218,Series 2 Volume 1
5899e7defe6fca451b590678,赤,253,Series 2 Volume 1
5899e7defe6fca451b590691,間,278,Series 2 Volume 1
5899e7defe6fca451b59069e,飲,291,Series 2 Volume 1
5899e7defe6fca451b5906b6,介,315,Series 2 Volume 2
5899e7defe6fca451b5906ba,令,319,Series 2 Volume 2
5899e7defe6fca451b5906c7,例,332,Series 2 Volume 2
5899e7defe6fca451b5906d9,偶,350,Series 2 Volume 2
5899e7defe6fca451b5906ea,凍,367,Series 2 Volume 2
5899e7defe6fca451b590722,君,423,Series 2 Volume 2
5899e7defe6fca451b590750,失,469,Series 2 Volume 2
5899e7defe6fca451b590757,婦,476,Series 2 Volume 2
5899e7defe6fca451b590782,布,519,Series 2 Volume 2
5899e7defe6fca451b590783,希,520,Series 2 Volume 2
5899e7defe6fca451b59078a,干,527,Series 2 Volume 2
5899e7defe6fca451b59078c,幸,529,Series 2 Volume 2
5899e7defe6fca451b5907a0,得,549,Series 2 Volume 2
5899e7defe6fca451b5907ae,恐,563,Series 2 Volume 2
5899e7defe6fca451b5907c2,承,583,Series 2 Volume 2
5899e7defe6fca451b5907d0,捕,597,Series 2 Volume 2
5899e7defe6fca451b5907df,政,612,Series 2 Volume 2
5899e7defe6fca451b5907fa,望,639,Series 2 Volume 2
5899e7defe6fca451b590819,横,670,Series 2 Volume 2
5899e7defe6fca451b59081f,武,676,Series 2 Volume 2
5899e7defe6fca451b590824,段,681,Series 2 Volume 2
5899e7defe6fca451b5905d9,女,94,Series 2 Volume 1
5899e7defe6fca451b5905ed,市,114,Series 2 Volume 1
5899e7defe6fca451b59060e,昼,147,Series 2 Volume 1
5899e7defe6fca451b590615,月,154,Series 2 Volume 1
5899e7defe6fca451b59061c,村,161,Series 2 Volume 1
5899e7defe6fca451b590621,森,166,Series 2 Volume 1
5899e7defe6fca451b590627,正,172,Series 2 Volume 1
5899e7defe6fca451b59062b,毎,176,Series 2 Volume 1
5899e7defe6fca451b59062f,池,180,Series 2 Volume 1
